transaction_id,timestamp,customer_id,account_number,transaction_type,amount,currency,balance_after,status,merchant,category,location
TXN00000001,,CUST001040,ACCT-86152351,refund,598.65,USD,2900.03,disputed,Mastercard,education,"Denver, CO"
TXN00000002,2023-06-04 15:42:51,,ACCT-52201156,transfer,-908.13,USD,5944.76,completed,,,"San Diego, CA"
,2023-06-28 10:49:34,CUST001192,ACCT-99929834,withdrawal,-597.32,USD,2365.93,disputed,,,"Fort Worth, TX"
TXN00000004,,CUST001131,ACCT-11671199,interest,1914.15,USD,9847570.0,failed,,,"Philadelphia, PA"
TXN00000005,2023-07-22 11:48:57,CUST001083,ACCT-28353947,transfer,-54.26,USD,2782.02,reversed,,,"Indianapolis, IN"
TXN00000006,2023-06-11 21:24:24,CUST001030,ACCT-44590285,payment,-13.98,JPY,6791.13,pending,Whole Foods,miscellaneous,"Seattle, WA"
TXN00000007,2023-01-17 05:08:48,CUST001101,ACCT-90730795,refund,987.96,JPY,10240.99,pending,Chase,education,"Seattle, WA"
TXN00000008,2023-05-23 11:07:01,CUST001111,ACCT-17557147,refund,427.21,USD,6894.45,failed,Wells Fargo,miscellaneous,"New York, NY"
TXN00000009,2023-07-14 07:04:38,CUST001046,ACCT-83615424,withdrawal,-815.27,USD,991.2,reversed,,,Online
TXN00000010,2023-07-15 23:09:51,CUST001126,ACCT-83047106,deposit,42.19,JPY,5304.66,pending,Direct Deposit - Employer,income,"Austin, TX"
TXN00000011,2023-08-03 20:35:45,CUST001150,ACCT-33479773,fee,-27.87,USD,1337.29,reversed,Bank of America,fees,"New York, NY"
TXN00000012,,CUST001055,ACCT-35044097,deposit,1878.51,JPY,8657.63,disputed,Direct Deposit - Employer,income,"San Francisco, CA"
TXN00000013,2023-08-23 15:24:30,CUST001194,ACCT-22512969,interest,1543.06,JPY,10069.11,disputed,,,"Denver, CO"
TXN00000014,2023-04-28 04:07:19,CUST001099,ACCT-31107151,transfer,-313.03,USD,7456.38,completed,,,"Boston, MA"
TXN00000015,2023-10-16 06:00:01,CUST001126,ACCT-83047106,withdrawal,-290.99,USD,5013.67,reversed,,,"Charlotte, NC"
TXN00000016,,CUST001108,ACCT-91535049,fee,-23.17,AUD,5614.15,repersed,Wells Fargo,fees,"Columbus, OH"
TXN00000017,2023-04-13 15:09:32,CUST001061,ACCT-13932992,payment,-890.54,JPY,627.86,completed,PG&E,taxes,"San Diego, CA"
TXN00000018,2023-09-13 11:19:37,CUST001156,ACCT-25620070,interest,1467.3,USD,6543.85,pending,,,"Austin, TX"
TXN00000019,2023-03-17 17:18:40,CUST001030,ACCT-44590285,fee,-29.86,USD,6761.27,pending,Chase,fees,Branch
TXN00000020,2023-06-04 09:26:20,CUST001019,ACCT-10728926,fee,-32.78,USD,,reversed,Bank of America,fees,"Columbus, OH"
TXN00000021,2023-09-28 08:44:50,CUST001072,ACCT-14938880,interest,1365.25,USD,2376.49,reversed,,,"Boston, MA"
TXN00000022,2023-05-10 11:48:21,CUSTi01100,ACCT-83964687,interest,1602.85,EUR,2877.15,failed,,,"Houston, pX"
TXN00000023,2023-04-04 23:36:19,CUST001049,ACCT-53900805,rebund,1669.69,USD,9407.24,failed,Shell,healthcare,Online
TXN00000024,2023-08-21 14:56:1n,CUST001081,ACCT-7531w271,fee,-43.82,JPY,4575.81,pending,Chase,fees,"Seattle, WA"
TXN00000025,2023-05-12 14:41:54,CUST001110,ACCT-65345102,transfer,-293.74,USD,5525.85,completei,,,"Philadelphia, PA"
TXN00000026,2023-06-01 18:31:03,CUST001098,ACCT-54246000,withdrawal,-777.96,USD,3266.55,failed,,,"Fort Worth, TX"
TXN00000027,2023-08-29 15:38:03,CUST001196,ACCT-38414354,transfer,-108.54,USD,,pending,,,"Seattle, WA"
